Industry,State_Territory,Year,Number_of_SARs
Money Services,Iowa,1/1/2020,3901
Money Services,Kansas,1/1/2020,4237
Money Services,Kentucky,1/1/2020,6993
Money Services,Louisiana,1/1/2020,10284
Money Services,Maine,1/1/2020,1920
Money Services,Marshall Islands,1/1/2020,51
Money Services,Maryland,1/1/2020,24174
Money Services,Massachusetts,1/1/2020,23977
Money Services,Michigan,1/1/2020,15569
Money Services,Minnesota,1/1/2020,13036
Money Services,Mississippi,1/1/2020,7397
Money Services,Missouri,1/1/2020,9270
Money Services,Montana,1/1/2020,1766
Money Services,Nebraska,1/1/2020,3108
Money Services,Nevada,1/1/2020,8512
Money Services,New Hampshire,1/1/2020,1962
Money Services,New Jersey,1/1/2020,36798
Money Services,New Mexico,1/1/2020,3633
Money Services,New York,1/1/2020,102622
Money Services,North Carolina,1/1/2020,25737
Money Services,North Dakota,1/1/2020,1465
Money Services,Northern Mariana Islands,1/1/2020,221
Money Services,Ohio,1/1/2020,16646
Money Services,Oklahoma,1/1/2020,6213
Money Services,Oregon,1/1/2020,8641
Money Services,Palau,1/1/2020,16
Money Services,Pennsylvania,1/1/2020,28039
Money Services,Puerto Rico,1/1/2020,11523
Money Services,Rhode Island,1/1/2020,3113
Money Services,South Carolina,1/1/2020,11552
Money Services,South Dakota,1/1/2020,1075
Money Services,Tennessee,1/1/2020,14909
Money Services,Texas,1/1/2020,81674
Money Services,U.S. Virgin Islands,1/1/2020,2524
Money Services,Unknown/Blank,1/1/2020,6002
Money Services,Utah,1/1/2020,4192
Money Services,Vermont,1/1/2020,859
Money Services,Virginia,1/1/2020,24645
Money Services,Washington,1/1/2020,18581
Money Services,West Virginia,1/1/2020,2224
Money Services,Wisconsin,1/1/2020,4987
Money Services,Wyoming,1/1/2020,992
Money Services,Alabama,1/1/2021,10823
Money Services,Alaska,1/1/2021,2362
Money Services,American Samoa,1/1/2021,353
Money Services,Arizona,1/1/2021,19811
Money Services,Arkansas,1/1/2021,9244
Money Services,California,1/1/2021,429069
Money Services,Colorado,1/1/2021,144486
Money Services,Connecticut,1/1/2021,12022
Money Services,Delaware,1/1/2021,4492
Money Services,District of Columbia,1/1/2021,4966
Money Services,Federated States of Micronesia,1/1/2021,98
Money Services,Florida,1/1/2021,83228
Money Services,Georgia,1/1/2021,39726
Money Services,Guam,1/1/2021,389
Money Services,Hawaii,1/1/2021,4813
Money Services,Idaho,1/1/2021,2077
Money Services,Illinois,1/1/2021,20242
Money Services,Indiana,1/1/2021,10624
Money Services,Iowa,1/1/2021,4619
Money Services,Kansas,1/1/2021,4398
Money Services,Kentucky,1/1/2021,7779
Money Services,Louisiana,1/1/2021,10734
Money Services,Maine,1/1/2021,2056
Money Services,Marshall Islands,1/1/2021,22
Money Services,Maryland,1/1/2021,23672
Money Services,Massachusetts,1/1/2021,24085
Money Services,Michigan,1/1/2021,16406
Money Services,Minnesota,1/1/2021,10399
Money Services,Mississippi,1/1/2021,8709
Money Services,Missouri,1/1/2021,8613
Money Services,Montana,1/1/2021,1905
Money Services,Nebraska,1/1/2021,4020
Money Services,Nevada,1/1/2021,9433
Money Services,New Hampshire,1/1/2021,1920
Money Services,New Jersey,1/1/2021,41003
Money Services,New Mexico,1/1/2021,3885
Money Services,New York,1/1/2021,121825
Money Services,North Carolina,1/1/2021,27519
Money Services,North Dakota,1/1/2021,1536
Money Services,Northern Mariana Islands,1/1/2021,292
Money Services,Ohio,1/1/2021,16924
Money Services,Oklahoma,1/1/2021,7139
Money Services,Oregon,1/1/2021,10648
Money Services,Palau,1/1/2021,9
Money Services,Pennsylvania,1/1/2021,29578
Money Services,Puerto Rico,1/1/2021,14854
Money Services,Rhode Island,1/1/2021,3141
Money Services,South Carolina,1/1/2021,11753
Money Services,South Dakota,1/1/2021,1372
Money Services,Tennessee,1/1/2021,17695
Money Services,Texas,1/1/2021,97804
Money Services,U.S. Virgin Islands,1/1/2021,2419
Money Services,Unknown/Blank,1/1/2021,5406
Money Services,Utah,1/1/2021,4793
Money Services,Vermont,1/1/2021,777
Money Services,Virginia,1/1/2021,24142
Money Services,Washington,1/1/2021,24371
Money Services,West Virginia,1/1/2021,2197
Money Services,Wisconsin,1/1/2021,6111
Money Services,Wyoming,1/1/2021,1020
Money Services,Alabama,1/1/2022,11657
Money Services,Alaska,1/1/2022,2194
Money Services,American Samoa,1/1/2022,253
Money Services,Arizona,1/1/2022,20463
Money Services,Arkansas,1/1/2022,11828
Money Services,California,1/1/2022,507239
Money Services,Colorado,1/1/2022,120879
Money Services,Connecticut,1/1/2022,10556
Money Services,Delaware,1/1/2022,4663
Money Services,District of Columbia,1/1/2022,4292
Money Services,Federated States of Micronesia,1/1/2022,119
Money Services,Florida,1/1/2022,88852
Money Services,Georgia,1/1/2022,37332
Money Services,Guam,1/1/2022,408
Money Services,Hawaii,1/1/2022,4548
Money Services,Idaho,1/1/2022,2131
Money Services,Illinois,1/1/2022,20361
Money Services,Indiana,1/1/2022,10695
Money Services,Iowa,1/1/2022,5029
Money Services,Kansas,1/1/2022,4795
Money Services,Kentucky,1/1/2022,7633
Money Services,Louisiana,1/1/2022,12080
Money Services,Maine,1/1/2022,2149
